bedrooms,bathrooms,toilets,parking spaces,type,town,state,price
5.0,6.0,6.0,3.0,block of flats,Dakibiyu,Abuja,49000000.0
5.0,5.0,6.0,3.0,detached duplex,Lekki,Lagos,150000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,120000000.0
4.0,5.0,5.0,3.0,detached duplex,Ajah,Lagos,150000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,2.0,terraced duplex,Lekki,Lagos,60000000.0
4.0,4.0,5.0,2.0,terraced duplex,Ajah,Lagos,50000000.0
4.0,4.0,5.0,2.0,semi-detached duplex,Lekki,Lagos,85000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,60000000.0
3.0,3.0,4.0,2.0,terraced duplex,Lekki,Lagos,75000000.0
5.0,5.0,6.0,3.0,detached duplex,Ajah,Lagos,110000000.0
4.0,4.0,5.0,3.0,detached duplex,Ajah,Lagos,62000000.0
3.0,4.0,5.0,3.0,terraced duplex,Life Camp,Abuja,55000000.0
4.0,4.0,6.0,3.0,semi-detached duplex,Ajah,Lagos,43000000.0
3.0,5.0,5.0,5.0,terraced duplex,Lekki,Lagos,56500000.0
4.0,5.0,5.0,3.0,terraced duplex,Ikoyi,Lagos,250000000.0
4.0,4.0,5.0,7.0,detached duplex,Gwarinpa,Abuja,55000000.0
4.0,5.0,5.0,6.0,terraced duplex,Lekki,Lagos,55000000.0
4.0,6.0,5.0,5.0,detached duplex,Lekki,Lagos,130000000.0
4.0,4.0,5.0,2.0,detached duplex,Lekki,Lagos,55000000.0
4.0,4.0,5.0,3.0,terraced duplex,Lekki,Lagos,62000000.0
3.0,3.0,4.0,3.0,terraced duplex,Isolo,Lagos,55000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Ajah,Lagos,40000000.0
4.0,4.0,5.0,3.0,detached duplex,Ajah,Lagos,80000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,70000000.0
3.0,3.0,3.0,7.0,block of flats,Ogudu,Lagos,85000000.0
5.0,5.0,5.0,6.0,detached duplex,Ojodu,Lagos,150000000.0
5.0,5.0,5.0,5.0,detached duplex,Ikeja,Lagos,115000000.0
3.0,3.0,4.0,2.0,block of flats,Lekki,Lagos,40000000.0
5.0,5.0,6.0,2.0,terraced duplex,Lekki,Lagos,110000000.0
4.0,4.0,4.0,2.0,terraced duplex,Lekki,Lagos,65000000.0
4.0,4.0,5.0,2.0,terraced duplex,Lekki,Lagos,135000000.0
4.0,5.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,90000000.0
5.0,6.0,6.0,4.0,semi-detached duplex,Lekki,Lagos,350000000.0
4.0,4.0,4.0,4.0,detached bungalow,Ajah,Lagos,57000000.0
4.0,5.0,4.0,7.0,terraced duplex,Ajah,Lagos,54000000.0
3.0,3.0,3.0,2.0,terraced duplex,Lekki,Lagos,45000000.0
4.0,5.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,75000000.0
5.0,6.0,6.0,3.0,terraced duplex,Gwarinpa,Abuja,48500000.0
5.0,5.0,6.0,5.0,detached duplex,Ogudu,Lagos,240000000.0
4.0,5.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,85000000.0
4.0,4.0,5.0,3.0,terraced duplex,Ajah,Lagos,45000000.0
4.0,4.0,5.0,3.0,detached bungalow,Ajah,Lagos,40000000.0
4.0,4.0,5.0,4.0,semi-detached duplex,Lekki,Lagos,150000000.0
5.0,5.0,5.0,5.0,detached duplex,Lekki,Lagos,170000000.0
4.0,4.0,5.0,4.0,detached duplex,Ibeju Lekki,Lagos,101000000.0
5.0,5.0,6.0,5.0,detached duplex,Lekki,Lagos,370000000.0
4.0,6.0,6.0,5.0,semi-detached duplex,Lekki,Lagos,95000000.0
5.0,5.0,6.0,5.0,detached duplex,Ajah,Lagos,140000000.0
5.0,5.0,6.0,5.0,detached duplex,Lekki,Lagos,260000000.0
4.0,6.0,6.0,5.0,semi-detached duplex,Lekki,Lagos,150000000.0
3.0,3.0,4.0,2.0,terraced duplex,Ajah,Lagos,45000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,150000000.0
3.0,4.0,4.0,3.0,terraced duplex,Kubwa,Abuja,43000000.0
5.0,5.0,5.0,5.0,detached duplex,Asokoro District,Abuja,250000000.0
4.0,4.0,5.0,4.0,detached duplex,Life Camp,Abuja,75000000.0
4.0,4.0,4.0,2.0,detached duplex,Lekki,Lagos,85000000.0
4.0,4.0,5.0,5.0,semi-detached duplex,Lekki,Lagos,85000000.0
6.0,6.0,7.0,4.0,detached duplex,Kado,Abuja,77500000.0
5.0,5.0,5.0,3.0,semi-detached duplex,Ajah,Lagos,120000000.0
4.0,4.0,4.0,2.0,semi-detached duplex,Ajah,Lagos,160000000.0
3.0,3.0,4.0,3.0,terraced duplex,Ajah,Lagos,43000000.0
3.0,3.0,4.0,4.0,terraced duplex,Lekki,Lagos,80000000.0
4.0,4.0,5.0,4.0,semi-detached duplex,Lekki,Lagos,220000000.0
4.0,4.0,4.0,2.0,semi-detached duplex,Lekki,Lagos,105000000.0
3.0,3.0,4.0,2.0,terraced duplex,Victoria Island (VI),Lagos,180000000.0
4.0,4.0,6.0,6.0,block of flats,Ajah,Lagos,39999999.0
4.0,4.0,4.0,3.0,detached duplex,Lekki,Lagos,110000000.0
4.0,4.0,4.0,2.0,terraced duplex,Lekki,Lagos,55000000.0
3.0,4.0,4.0,3.0,block of flats,Wuye,Abuja,50000000.0
5.0,6.0,6.0,10.0,semi-detached duplex,Wuse,Abuja,165000000.0
3.0,3.0,4.0,4.0,terraced duplex,Lekki,Lagos,75000000.0
4.0,5.0,5.0,5.0,semi-detached duplex,Ajah,Lagos,160000000.0
4.0,4.0,5.0,5.0,detached duplex,Lekki,Lagos,80000000.0
5.0,6.0,6.0,3.0,detached duplex,Lekki,Lagos,87000000.0
4.0,4.0,5.0,3.0,detached duplex,Lekki,Lagos,95000000.0
4.0,3.0,4.0,7.0,semi-detached duplex,Lekki,Lagos,260000000.0
3.0,4.0,4.0,2.0,terraced duplex,Ajah,Lagos,40000000.0
6.0,6.0,7.0,7.0,detached duplex,Lekki,Lagos,165000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,95000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,160000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,210000000.0
4.0,4.0,5.0,4.0,semi-detached duplex,Lekki,Lagos,78000000.0
5.0,5.0,6.0,5.0,detached duplex,Lekki,Lagos,200000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,280000000.0
4.0,4.0,5.0,2.0,terraced duplex,Ikoyi,Lagos,230000000.0
5.0,5.0,6.0,3.0,detached duplex,Lekki,Lagos,135000000.0
4.0,4.0,5.0,3.0,terraced duplex,Lekki,Lagos,57000000.0
4.0,5.0,5.0,4.0,semi-detached bungalow,Ajah,Lagos,35000000.0
4.0,5.0,5.0,3.0,terraced duplex,Lekki,Lagos,175000000.0
5.0,6.0,6.0,4.0,semi-detached duplex,Lekki,Lagos,360000000.0
3.0,3.0,4.0,2.0,terraced duplex,Magboro,Ogun,26000000.0
4.0,4.0,5.0,2.0,terraced duplex,Lekki,Lagos,100000000.0
5.0,5.0,6.0,4.0,semi-detached duplex,Lekki,Lagos,400000000.0
5.0,5.0,6.0,5.0,detached duplex,Lekki,Lagos,198000000.0
3.0,3.0,4.0,3.0,block of flats,Lekki,Lagos,42500000.0
3.0,5.0,5.0,3.0,detached bungalow,Lekki,Lagos,25000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,90000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,225000000.0
4.0,4.0,5.0,5.0,semi-detached duplex,Lekki,Lagos,120000000.0
3.0,3.0,4.0,2.0,terraced duplex,Lekki,Lagos,40000000.0
5.0,5.0,6.0,7.0,detached duplex,Ajah,Lagos,190000000.0
4.0,5.0,5.0,3.0,terraced duplex,Lekki,Lagos,130000000.0
4.0,4.0,5.0,3.0,semi-detached duplex,Lekki,Lagos,80000000.0
4.0,4.0,5.0,2.0,semi-detached duplex,Lekki,Lagos,95000000.0
5.0,5.0,6.0,4.0,semi-detached duplex,Lekki,Lagos,350000000.0
4.0,4.0,5.0,2.0,terraced duplex,Lekki,Lagos,160000000.0
5.0,5.0,6.0,8.0,detached duplex,Magboro,Ogun,50000000.0
4.0,4.0,5.0,3.0,terraced duplex,Lekki,Lagos,120000000.0
5.0,5.0,6.0,5.0,detached duplex,Lekki,Lagos,190000000.0
4.0,4.0,5.0,4.0,terraced duplex,Ikoyi,Lagos,230000000.0
5.0,5.0,6.0,4.0,detached duplex,Ajah,Lagos,145000000.0
4.0,4.0,5.0,2.0,terraced duplex,Kaura,Abuja,75000000.0
4.0,4.0,5.0,2.0,terraced duplex,Lekki,Lagos,185000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,400000000.0
5.0,5.0,6.0,4.0,detached duplex,Lekki,Lagos,350000000.0
5.0,5.0,6.0,3.0,terraced duplex,Lekki,Lagos,250000000.0
4.0,4.0,5.0,2.0,terraced duplex,Victoria Island (VI),Lagos,140000000.0
5.0,5.0,6.0,3.0,terraced duplex,Life Camp,Abuja,90000000.0
5.0,5.0,6.0,4.0,detached duplex,Ajah,Lagos,130000000.0
5.0,6.0,7.0,5.0,detached duplex,Port Harcourt,Rivers,120000000.0
4.0,5.0,5.0,4.0,terraced duplex,Apo,Abuja,75000000.0
